x,u
0.380952,1.000000
0.383459,1.000000
0.385965,1.000000
0.388471,1.000000
0.390977,1.000000
0.393484,1.000000
0.395990,1.000000
0.398496,1.000000
0.401003,1.000000
0.403509,1.000000
0.406015,1.000000
0.408521,1.000000
0.411028,1.000000
0.413534,1.000000
0.416040,1.000000
0.418546,1.000000
0.421053,1.000000
0.423559,1.000000
0.426065,1.000000
0.428571,1.000000
0.431078,1.000000
0.433584,1.000000
0.436090,1.000000
0.438596,1.000000
0.441103,1.000000
0.443609,1.000000
0.446115,1.000000
0.448622,1.000000
0.451128,1.000000
0.453634,1.000000
0.456140,1.000000
0.458647,1.000000
0.461153,1.000000
0.463659,1.000000
0.466165,1.000000
0.468672,1.000000
0.471178,1.000000
0.473684,1.000000
0.476190,1.000000
0.478697,1.000000
0.481203,1.000000
0.483709,1.000000
0.486216,1.000000
0.488722,1.000000
0.491228,1.000000
0.493734,1.000000
0.496241,1.000000
0.498747,1.000000
0.501253,1.000000
0.503759,1.000000
0.506266,1.000000
0.508772,1.000000
0.511278,1.000000
0.513784,1.000000
0.516291,1.000000
0.518797,1.000000
0.521303,1.000000
0.523810,1.000000
0.526316,1.000000
0.528822,1.000000
0.531328,1.000000
0.533835,1.000000
0.536341,1.000000
0.538847,1.000000
0.541353,1.000000
0.543860,1.000000
0.546366,1.000000
0.548872,1.000000
0.551378,1.000000
0.553885,1.000000
0.556391,1.000000
0.558897,1.000000
0.561404,1.000000
0.563910,1.000000
0.566416,1.000000
0.568922,1.000000
0.571429,1.000000
0.573935,1.000000
0.576441,1.000000
0.578947,1.000000
0.581454,1.000000
0.583960,1.000000
0.586466,1.000000
0.588972,1.000000
0.591479,1.000000
0.593985,1.000000
0.596491,1.000000
0.598997,1.000000
0.601504,1.000000
0.604010,1.000000
0.606516,1.000000
0.609023,1.000000
0.611529,1.000000
0.614035,1.000000
0.616541,1.000000
0.619048,1.000000
0.621554,1.000000
0.624060,1.000000
0.626566,1.000000
0.629073,1.000000
0.631579,1.000000
0.634085,1.000000
0.636591,1.000000
0.639098,1.000000
0.641604,1.000000
0.644110,1.000000
0.646617,1.000000
0.649123,1.000000
0.651629,1.000000
0.654135,1.000000
0.656642,1.000000
0.659148,1.000000
0.661654,1.000000
0.664160,1.000000
0.666667,1.000000
0.669173,1.000000
0.671679,1.000000
0.674185,1.000000
0.676692,1.000000
0.679198,1.000000
0.681704,1.000000
0.684211,1.000000
0.686717,1.000000
0.689223,1.000000
0.691729,1.000000
0.694236,1.000000
0.696742,1.000000
0.699248,1.000000
0.701754,1.000000
0.704261,1.000000
0.706767,1.000000
0.709273,1.000000
0.711779,1.000000
0.714286,1.000000
0.716792,1.000000
0.719298,1.000000
0.721805,1.000000
0.724311,1.000000
0.726817,1.000000
0.729323,1.000000
0.731830,1.000000
0.734336,1.000000
0.736842,1.000000
0.739348,1.000000
0.741855,1.000000
0.744361,1.000000
0.746867,1.000000
0.749373,1.000000
0.751880,1.000000
0.754386,1.000000
0.756892,1.000000
0.759398,1.000000
0.761905,1.000000
0.764411,1.000000
0.766917,1.000000
0.769424,1.000000
0.771930,1.000000
0.774436,1.000000
0.776942,1.000000
0.779449,1.000000
0.781955,1.000000
0.784461,1.000000
0.786967,1.000000
0.789474,1.000000
0.791980,1.000000
0.794486,1.000000
0.796992,1.000000
0.799499,1.000000
0.802005,1.000000
0.804511,1.000000
0.807018,1.000000
0.809524,1.000000
0.812030,1.000000
0.814536,1.000000
0.817043,1.000000
0.819549,1.000000
0.822055,1.000000
0.824561,1.000000
0.827068,1.000000
0.829574,1.000000
0.832080,1.000000
0.834586,1.000000
0.837093,1.000000
0.839599,1.000000
0.842105,1.000000
0.844612,1.000000
0.847118,1.000000
0.849624,1.000000
0.852130,1.000000
0.854637,1.000000
0.857143,1.000000
0.859649,1.000000
0.862155,1.000000
0.864662,1.000000
0.867168,1.000000
0.869674,1.000000
0.872180,1.000000
0.874687,1.000000
0.877193,1.000000
