TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
1.780000000000000e-01 3.800341440402469e-01 1.215554228383360e+00 2.828630536309105e+00
1.800000000000000e-01 3.788093868734560e-01 1.225970895050027e+00 2.815876388752608e+00
1.820000000000000e-01 3.775877894183341e-01 1.236387561716693e+00 2.803171565369310e+00
1.840000000000000e-01 3.763693455572054e-01 1.246804228383360e+00 2.790515907096981e+00
1.860000000000000e-01 3.751540491802957e-01 1.257220895050027e+00 2.777909255284006e+00
1.880000000000000e-01 3.739418941857268e-01 1.267637561716693e+00 2.765351451688605e+00
1.900000000000000e-01 3.727328744795123e-01 1.278054228383360e+00 2.752842338478029e+00
1.920000000000000e-01 3.715269839755519e-01 1.288470895050027e+00 2.740381758227769e+00
1.940000000000000e-01 3.703242165956270e-01 1.298887561716694e+00 2.727969553920771e+00
1.960000000000000e-01 3.691245662693941e-01 1.309304228383360e+00 2.715605568946629e+00
1.980000000000000e-01 3.679280269343816e-01 1.319720895050027e+00 2.703289647100813e+00
2.000000000000000e-01 3.667345925359833e-01 1.330137561716693e+00 2.691021632583861e+00
2.020000000000000e-01 3.655442570274535e-01 1.340554228383360e+00 2.678801370000603e+00
2.040000000000000e-01 3.643570143699026e-01 1.350970895050027e+00 2.666628704359372e+00
2.060000000000000e-01 3.631728585322913e-01 1.361387561716694e+00 2.654503481071215e+00
2.080000000000000e-01 3.619917834914253e-01 1.371804228383360e+00 2.642425545949104e+00
2.100000000000000e-01 3.608137832319521e-01 1.382220895050027e+00 2.630394745207170e+00
2.120000000000000e-01 3.596388517463525e-01 1.392637561716693e+00 2.618410925459889e+00
2.140000000000000e-01 3.584669830349391e-01 1.403054228383360e+00 2.606473933721332e+00
2.160000000000000e-01 3.572981711058482e-01 1.413470895050027e+00 2.594583617404359e+00
2.180000000000000e-01 3.561324099750367e-01 1.423887561716693e+00 2.582739824319853e+00
2.200000000000000e-01 3.549696936662759e-01 1.434304228383360e+00 2.570942402675933e+00
2.220000000000000e-01 3.538100162111470e-01 1.444720895050027e+00 2.559191201077181e+00
2.240000000000000e-01 3.526533716490361e-01 1.455137561716693e+00 2.547486068523868e+00
2.260000000000000e-01 3.514997540271280e-01 1.465554228383360e+00 2.535826854411164e+00
2.280000000000000e-01 3.503491574004026e-01 1.475970895050027e+00 2.524213408528381e+00
2.300000000000000e-01 3.492015758316286e-01 1.486387561716693e+00 2.512645581058182e+00
2.320000000000000e-01 3.480570033913592e-01 1.496804228383360e+00 2.501123222575822e+00
2.340000000000000e-01 3.469154341579263e-01 1.507220895050027e+00 2.489646184048365e+00
2.360000000000000e-01 3.457768622174358e-01 1.517637561716693e+00 2.478214316833921e+00
2.380000000000000e-01 3.446412816637625e-01 1.528054228383360e+00 2.466827472680867e+00
2.400000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
2.420000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
