TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
4.060000000000000e-01 4.082999340182611e-02 -2.319459910932318e-01 4.543923644795156e-03
4.080000000000000e-01 3.969352617455420e-02 -2.208348799821207e-01 4.367848285105339e-03
4.100000000000000e-01 3.858250706766032e-02 -2.097237688710096e-01 4.197653761983044e-03
4.120000000000000e-01 3.749650628680265e-02 -1.986126577598984e-01 4.033175474698962e-03
4.140000000000000e-01 3.643509890432399e-02 -1.875015466487874e-01 3.874252529002509e-03
4.160000000000000e-01 3.539786483154125e-02 -1.763904355376763e-01 3.720727674169273e-03
4.180000000000000e-01 3.438438879103496e-02 -1.652793244265655e-01 3.572447240765332e-03
4.200000000000000e-01 3.339426028893770e-02 -1.541682133154543e-01 3.429261079124253e-03
4.220000000000000e-01 3.242707358722433e-02 -1.430571022043432e-01 3.291022498532947e-03
4.240000000000000e-01 3.148242767600042e-02 -1.319459910932321e-01 3.157588207121914e-03
4.260000000000000e-01 3.055992624579194e-02 -1.208348799821209e-01 3.028818252456056e-03
4.280000000000000e-01 2.965917765983429e-02 -1.097237688710098e-01 2.904575962821825e-03
4.300000000000000e-01 2.877979492636158e-02 -9.861265775989869e-02 2.784727889206601e-03
4.320000000000000e-01 2.792139567089582e-02 -8.750154664878755e-02 2.669143747966250e-03
4.340000000000000e-01 2.708360210853625e-02 -7.639043553767647e-02 2.557696364176715e-03
4.360000000000000e-01 2.626604101624844e-02 -6.527932442656532e-02 2.450261615665519e-03
4.380000000000000e-01 2.546834370515362e-02 -5.416821331545418e-02 2.346718377719150e-03
4.400000000000000e-01 2.469014599281783e-02 -4.305710220434310e-02 2.246948468462121e-03
4.420000000000000e-01 2.393108817554127e-02 -3.194599109323196e-02 2.150836594903692e-03
4.440000000000000e-01 2.319081500064735e-02 -2.083487998212082e-02 2.058270299648072e-03
4.460000000000000e-01 2.246897563877208e-02 -9.723768871009730e-03 1.969139908264070e-03
4.480000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.500000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.520000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.540000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.560000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.580000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.600000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.620000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.640000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.660000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.680000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.700000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.720000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.740000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.760000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.780000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.800000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.820000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.840000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.860000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.880000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
4.900000000000000e-01 2.185210208286423e-02 0.000000000000000e+00 1.893872022628784e-03
