TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
1.200000000000000e-01 7.832572721000000e-01 -1.821783611900000e+00 2.842313623000000e-01
1.220000000000000e-01 7.720684201000000e-01 -1.811549890400000e+00 2.785664403000000e-01
1.240000000000000e-01 7.609100632000000e-01 -1.801224876200000e+00 2.729494020000000e-01
1.260000000000000e-01 7.497947350000000e-01 -1.790818254700000e+00 2.673865461000000e-01
1.280000000000000e-01 7.387331025000000e-01 -1.780338411800000e+00 2.618830963000000e-01
1.300000000000000e-01 7.277342328000000e-01 -1.769792612100000e+00 2.564433595000000e-01
1.320000000000000e-01 7.168058271000000e-01 -1.759187156900000e+00 2.510708629000000e-01
1.340000000000000e-01 7.059544232000000e-01 -1.748527523900000e+00 2.457684728000000e-01
1.360000000000000e-01 6.951855695000000e-01 -1.737818488100000e+00 2.405384961000000e-01
1.380000000000000e-01 6.845039721000000e-01 -1.727064224400000e+00 2.353827656000000e-01
1.400000000000000e-01 6.739136194000001e-01 -1.716268396000000e+00 2.303027125000000e-01
1.420000000000000e-01 6.634178865000000e-01 -1.705434228300000e+00 2.252994264000000e-01
1.440000000000000e-01 6.530196240000000e-01 -1.694564571800000e+00 2.203737071000000e-01
1.460000000000000e-01 6.427212315000000e-01 -1.683661954800000e+00 2.155261066000000e-01
1.480000000000000e-01 6.325247208000000e-01 -1.672728628300000e+00 2.107569656000000e-01
1.500000000000000e-01 6.224317678000000e-01 -1.661766603700000e+00 2.060664437000000e-01
1.520000000000000e-01 6.124437581000000e-01 -1.650777684700000e+00 2.014545454000000e-01
1.540000000000000e-01 6.025618241000000e-01 -1.639763494900000e+00 1.969211413000000e-01
1.560000000000000e-01 5.927868777000000e-01 -1.628725500500000e+00 1.924659873000000e-01
1.580000000000000e-01 5.831196377000000e-01 -1.617665030200000e+00 1.880887401000000e-01
1.600000000000000e-01 5.735606538000000e-01 -1.606583292700000e+00 1.837889708000000e-01
1.620000000000000e-01 5.641103264000000e-01 -1.595481390800000e+00 1.795661765000000e-01
1.640000000000000e-01 5.547689245000000e-01 -1.584360334300000e+00 1.754197908000000e-01
1.660000000000000e-01 5.455366006000000e-01 -1.573221050700000e+00 1.713491919000000e-01
1.680000000000000e-01 5.364134040000000e-01 -1.562064395000000e+00 1.673537103000000e-01
1.700000000000000e-01 5.273992923000000e-01 -1.550891157800000e+00 1.634326357000000e-01
1.720000000000000e-01 5.184941410000000e-01 -1.539702072200000e+00 1.595852223000000e-01
1.740000000000000e-01 5.096977526000001e-01 -1.528497820600000e+00 1.558106937000000e-01
1.760000000000000e-01 5.010098638000000e-01 -1.517279039900000e+00 1.521082477000000e-01
1.780000000000000e-01 4.924301526000000e-01 -1.506046326100000e+00 1.484770599000000e-01
1.800000000000000e-01 4.839582438000000e-01 -1.494800239200000e+00 1.449162869000000e-01
1.820000000000000e-01 4.755937143000000e-01 -1.483541306200000e+00 1.414250695000000e-01
1.840000000000000e-01 4.673360979000000e-01 -1.472270024700000e+00 1.380025354000000e-01
1.860000000000000e-01 4.591848888000000e-01 -1.460986866000000e+00 1.346478012000000e-01
1.880000000000000e-01 4.511395456000000e-01 -1.449692277200000e+00 1.313599747000000e-01
