TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
1.500000000000000e-01 4.635731674000000e-01 -3.137047435000000e-01 1.363441485600000e+00
1.520000000000000e-01 4.610664030000000e-01 -3.027082992000000e-01 1.353130983800000e+00
1.540000000000000e-01 4.585732238000000e-01 -2.917239045000000e-01 1.342898575400000e+00
1.560000000000000e-01 4.560938663000000e-01 -2.807529215000000e-01 1.332744937100000e+00
1.580000000000000e-01 4.536286047000000e-01 -2.697969027000000e-01 1.322670891200000e+00
1.600000000000000e-01 4.511777575000000e-01 -2.588576235000000e-01 1.312677431100000e+00
1.620000000000000e-01 4.487416952000000e-01 -2.479371224000000e-01 1.302765750900000e+00
1.640000000000000e-01 4.463208500000000e-01 -2.370377491000000e-01 1.292937281800000e+00
1.660000000000000e-01 4.439157272000000e-01 -2.261622227000000e-01 1.283193736100000e+00
1.680000000000000e-01 4.415269192000000e-01 -2.153137034000000e-01 1.273537160900000e+00
1.700000000000000e-01 4.391551228000000e-01 -2.044958799000000e-01 1.263970003800000e+00
1.720000000000000e-01 4.368011604000000e-01 -1.937130772000000e-01 1.254495193700000e+00
1.740000000000000e-01 4.344660061000000e-01 -1.829703895000000e-01 1.245116240300000e+00
1.760000000000000e-01 4.321508177000000e-01 -1.722738448000000e-01 1.235837357200000e+00
1.780000000000000e-01 4.298569771000000e-01 -1.616306100000000e-01 1.226663614500000e+00
1.800000000000000e-01 4.275861403000000e-01 -1.510492455000000e-01 1.217601129100000e+00
1.820000000000000e-01 4.253402990000000e-01 -1.405400235000000e-01 1.208657300400000e+00
1.840000000000000e-01 4.231218583000000e-01 -1.301153235000000e-01 1.199841104300000e+00
1.860000000000000e-01 4.209337320000000e-01 -1.197901252000000e-01 1.191163456900000e+00
1.880000000000000e-01 4.187794613000000e-01 -1.095826170000000e-01 1.182637663600000e+00
1.900000000000000e-01 4.166633596000000e-01 -9.951494290000000e-02 1.174279967700000e+00
1.920000000000000e-01 4.145906860000000e-01 -8.961410450000000e-02 1.166110209800000e+00
1.940000000000000e-01 4.125678509000000e-01 -7.991302440000000e-02 1.158152602900000e+00
1.960000000000000e-01 4.106026477000000e-01 -7.045175680000000e-02 1.150436606800000e+00
1.980000000000000e-01 4.087044986000000e-01 -6.127878010000000e-02 1.142997854100000e+00
2.000000000000000e-01 4.068846866000000e-01 -5.245222910000000e-02 1.135879015700000e+00
2.020000000000000e-01 4.051565185000000e-01 -4.404079480000000e-02 1.129130403900000e+00
2.040000000000000e-01 4.035353312000000e-01 -3.612383290000000e-02 1.122809967700000e+00
2.060000000000000e-01 4.020382054000000e-01 -2.878999510000000e-02 1.116982172800000e+00
2.080000000000000e-01 4.006832130000000e-01 -2.213348300000000e-02 1.111715103400000e+00
2.100000000000000e-01 3.994880175000000e-01 -1.624698470000000e-02 1.107075094700000e+00
2.120000000000000e-01 3.984677183000000e-01 -1.121072810000000e-02 1.103118490700000e+00
2.140000000000000e-01 3.976320444000000e-01 -7.078172200000000e-03 1.099880928300000e+00
2.160000000000000e-01 3.969823664000000e-01 -3.860726000000000e-03 1.097365940400000e+00
2.180000000000000e-01 3.965094122000000e-01 -1.516011000000000e-03 1.095536256300000e+00
2.200000000000000e-01 3.961927717000000e-01 5.479720000000000e-05 1.094311959400000e+00
2.220000000000000e-01 3.960029472000000e-01 9.967241000000001e-04 1.093578395300000e+00
2.240000000000000e-01 3.959057532000000e-01 1.478866900000000e-03 1.093203094200000e+00
2.260000000000000e-01 3.958677145000000e-01 1.667245500000000e-03 1.093056522900000e+00
2.280000000000000e-01 3.958605388000000e-01 1.702326500000000e-03 1.093029275200000e+00
2.300000000000000e-01 3.958660584000000e-01 1.674341400000000e-03 1.093051113300000e+00
2.320000000000000e-01 3.958822935000000e-01 1.593124800000000e-03 1.093114384500000e+00
2.340000000000000e-01 3.959124540000000e-01 1.442738100000000e-03 1.093231501900000e+00
2.360000000000000e-01 3.959579098000000e-01 1.216391900000000e-03 1.093407766200000e+00
2.380000000000000e-01 3.960173410000000e-01 9.206612000000000e-04 1.093638082400000e+00
2.400000000000000e-01 3.960859952000000e-01 5.791667000000000e-04 1.093904083400000e+00
2.420000000000000e-01 3.961553215000000e-01 2.343739000000000e-04 1.094172710700000e+00
2.440000000000000e-01 3.962141651000000e-01 -5.835770000000000e-05 1.094400831900000e+00
2.460000000000000e-01 3.962545769000000e-01 -2.596012000000000e-04 1.094557701000000e+00
2.480000000000000e-01 3.962763258000000e-01 -3.682344000000000e-04 1.094642417400000e+00
2.500000000000000e-01 3.962849892000000e-01 -4.119470000000000e-04 1.094676545400000e+00
2.520000000000000e-01 3.962870079000000e-01 -4.227036000000000e-04 1.094684991500000e+00
2.540000000000000e-01 3.962865502000000e-01 -4.211876000000000e-04 1.094683874100000e+00
2.560000000000000e-01 3.962848227000000e-01 -4.133864000000000e-04 1.094677859100000e+00
2.580000000000000e-01 3.962819242000000e-01 -3.997914000000000e-04 1.094667329700000e+00
2.600000000000000e-01 3.962779556000000e-01 -3.809040000000000e-04 1.094652676600000e+00
2.620000000000000e-01 3.962731536000000e-01 -3.578985000000000e-04 1.094634815300000e+00
2.640000000000000e-01 3.962679185000000e-01 -3.327615000000000e-04 1.094615293800000e+00
2.660000000000000e-01 3.962627931000000e-01 -3.081878000000000e-04 1.094596212400000e+00
2.680000000000000e-01 3.962583281000000e-01 -2.869111000000000e-04 1.094579701200000e+00
2.700000000000000e-01 3.962548222000000e-01 -2.704132000000000e-04 1.094566914700000e+00
2.720000000000000e-01 3.962522207000000e-01 -2.584230000000000e-04 1.094557641700000e+00
2.740000000000000e-01 3.962502289000000e-01 -2.494784000000000e-04 1.094550742700000e+00
2.760000000000000e-01 3.962484753000000e-01 -2.417362000000000e-04 1.094544781500000e+00
2.780000000000000e-01 3.962466130000000e-01 -2.334752000000000e-04 1.094538416800000e+00
2.800000000000000e-01 3.962444295000000e-01 -2.236427000000000e-04 1.094530828400000e+00
2.820000000000000e-01 3.962419314000000e-01 -2.122706000000000e-04 1.094522041200000e+00
