run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0086,visc_on_sensor_u_beta_0p75_cfl_0p2_nx_201_mode_1,5,on,u,0.75,0.2,201,1,0.2,completed,completed,0.2
run_0087,visc_on_sensor_u_beta_0p75_cfl_0p2_nx_501_mode_1,5,on,u,0.75,0.2,501,1,0.2,completed,completed,0.2
run_0088,visc_on_sensor_u_beta_0p75_cfl_0p2_nx_1001_mode_1,5,on,u,0.75,0.2,1001,1,0.2,completed,completed,0.2
run_0089,visc_on_sensor_u_beta_0p75_cfl_0p5_nx_101_mode_1,5,on,u,0.75,0.5,101,1,0.2,completed,completed,0.2
run_0090,visc_on_sensor_u_beta_0p75_cfl_0p5_nx_201_mode_1,5,on,u,0.75,0.5,201,1,0.2,completed,completed,0.2
run_0091,visc_on_sensor_u_beta_0p75_cfl_0p5_nx_501_mode_1,5,on,u,0.75,0.5,501,1,0.2,completed,completed,0.2
run_0092,visc_on_sensor_u_beta_0p75_cfl_0p5_nx_1001_mode_1,5,on,u,0.75,0.5,1001,1,0.2,completed,completed,0.2
run_0093,visc_on_sensor_u_beta_0p75_cfl_0p8_nx_101_mode_1,5,on,u,0.75,0.8,101,1,0.2,completed,completed,0.2
run_0094,visc_on_sensor_u_beta_0p75_cfl_0p8_nx_201_mode_1,5,on,u,0.75,0.8,201,1,0.2,completed,completed,0.2
run_0095,visc_on_sensor_u_beta_0p75_cfl_0p8_nx_501_mode_1,5,on,u,0.75,0.8,501,1,0.2,completed,completed,0.2
run_0096,visc_on_sensor_u_beta_0p75_cfl_0p8_nx_1001_mode_1,5,on,u,0.75,0.8,1001,1,0.2,completed,completed,0.2
run_0097,visc_on_sensor_p_beta_0p75_cfl_0p2_nx_101_mode_1,5,on,p,0.75,0.2,101,1,0.2,completed,completed,0.2
run_0098,visc_on_sensor_p_beta_0p75_cfl_0p2_nx_201_mode_1,5,on,p,0.75,0.2,201,1,0.2,completed,completed,0.2
run_0099,visc_on_sensor_p_beta_0p75_cfl_0p2_nx_501_mode_1,5,on,p,0.75,0.2,501,1,0.2,completed,completed,0.2
run_0100,visc_on_sensor_p_beta_0p75_cfl_0p2_nx_1001_mode_1,5,on,p,0.75,0.2,1001,1,0.2,completed,completed,0.2
run_0101,visc_on_sensor_p_beta_0p75_cfl_0p5_nx_101_mode_1,5,on,p,0.75,0.5,101,1,0.2,completed,completed,0.2
run_0102,visc_on_sensor_p_beta_0p75_cfl_0p5_nx_201_mode_1,5,on,p,0.75,0.5,201,1,0.2,completed,completed,0.2
run_0103,visc_on_sensor_p_beta_0p75_cfl_0p5_nx_501_mode_1,5,on,p,0.75,0.5,501,1,0.2,completed,completed,0.2
run_0104,visc_on_sensor_p_beta_0p75_cfl_0p5_nx_1001_mode_1,5,on,p,0.75,0.5,1001,1,0.2,completed,completed,0.2
run_0105,visc_on_sensor_p_beta_0p75_cfl_0p8_nx_101_mode_1,5,on,p,0.75,0.8,101,1,0.2,completed,completed,0.2
run_0106,visc_on_sensor_p_beta_0p75_cfl_0p8_nx_201_mode_1,5,on,p,0.75,0.8,201,1,0.2,completed,completed,0.2
run_0107,visc_on_sensor_p_beta_0p75_cfl_0p8_nx_501_mode_1,5,on,p,0.75,0.8,501,1,0.2,completed,completed,0.2
run_0108,visc_on_sensor_p_beta_0p75_cfl_0p8_nx_1001_mode_1,5,on,p,0.75,0.8,1001,1,0.2,completed,completed,0.2
run_0109,visc_on_sensor_rho_beta_1_cfl_0p2_nx_101_mode_1,5,on,rho,1.0,0.2,101,1,0.2,completed,completed,0.2
run_0110,visc_on_sensor_rho_beta_1_cfl_0p2_nx_201_mode_1,5,on,rho,1.0,0.2,201,1,0.2,completed,completed,0.2
run_0111,visc_on_sensor_rho_beta_1_cfl_0p2_nx_501_mode_1,5,on,rho,1.0,0.2,501,1,0.2,completed,completed,0.2
run_0112,visc_on_sensor_rho_beta_1_cfl_0p2_nx_1001_mode_1,5,on,rho,1.0,0.2,1001,1,0.2,completed,completed,0.2
run_0113,visc_on_sensor_rho_beta_1_cfl_0p5_nx_101_mode_1,5,on,rho,1.0,0.5,101,1,0.2,completed,completed,0.2
run_0114,visc_on_sensor_rho_beta_1_cfl_0p5_nx_201_mode_1,5,on,rho,1.0,0.5,201,1,0.2,completed,completed,0.2
run_0115,visc_on_sensor_rho_beta_1_cfl_0p5_nx_501_mode_1,5,on,rho,1.0,0.5,501,1,0.2,completed,completed,0.2
run_0116,visc_on_sensor_rho_beta_1_cfl_0p5_nx_1001_mode_1,5,on,rho,1.0,0.5,1001,1,0.2,completed,completed,0.2
run_0117,visc_on_sensor_rho_beta_1_cfl_0p8_nx_101_mode_1,5,on,rho,1.0,0.8,101,1,0.2,completed,completed,0.2
run_0118,visc_on_sensor_rho_beta_1_cfl_0p8_nx_201_mode_1,5,on,rho,1.0,0.8,201,1,0.2,completed,completed,0.2
run_0119,visc_on_sensor_rho_beta_1_cfl_0p8_nx_501_mode_1,5,on,rho,1.0,0.8,501,1,0.2,completed,completed,0.2
run_0120,visc_on_sensor_rho_beta_1_cfl_0p8_nx_1001_mode_1,5,on,rho,1.0,0.8,1001,1,0.2,completed,completed,0.2
run_0121,visc_on_sensor_u_beta_1_cfl_0p2_nx_101_mode_1,5,on,u,1.0,0.2,101,1,0.2,completed,completed,0.2
