TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
8.599999999999999e-02 4.362387574000000e-01 7.641097991000000e-01 3.431146490500000e+00
8.799999999999999e-02 4.352400964000000e-01 7.717128074000000e-01 3.420155394500000e+00
9.000000000000000e-02 4.342022984000000e-01 7.796286343000000e-01 3.408744181300000e+00
9.200000000000000e-02 4.331301914000000e-01 7.878221220000000e-01 3.396967107900000e+00
9.400000000000000e-02 4.320283302000000e-01 7.962599832000000e-01 3.384875268600000e+00
9.600000000000000e-02 4.309009067000000e-01 8.049114880000000e-01 3.372515611500000e+00
9.800000000000000e-02 4.297516994000000e-01 8.137488587000000e-01 3.359930399200000e+00
1.000000000000000e-01 4.285840573000000e-01 8.227474207000000e-01 3.347157035500000e+00
1.020000000000000e-01 4.274009070000000e-01 8.318855625000000e-01 3.334228171700000e+00
1.040000000000000e-01 4.262047793000000e-01 8.411445648000000e-01 3.321172004700000e+00
1.060000000000000e-01 4.249978442000000e-01 8.505083475000000e-01 3.308012689000000e+00
1.080000000000000e-01 4.237819529000000e-01 8.599631763000000e-01 3.294770801800000e+00
1.100000000000000e-01 4.225586787000000e-01 8.694973605000000e-01 3.281463815200000e+00
1.120000000000000e-01 4.213293577000000e-01 8.791009623000000e-01 3.268106545500000e+00
1.140000000000000e-01 4.200951247000000e-01 8.887655299000000e-01 3.254711561400000e+00
1.160000000000000e-01 4.188569456000000e-01 8.984838621000000e-01 3.241289544500000e+00
1.180000000000000e-01 4.176156449000000e-01 9.082498042000000e-01 3.227849598000000e+00
1.200000000000000e-01 4.163719291000000e-01 9.180580746000000e-01 3.214399508800000e+00
1.220000000000000e-01 4.151264064000000e-01 9.279041206000000e-01 3.200945966000000e+00
1.240000000000000e-01 4.138796029000000e-01 9.377839972000001e-01 3.187494742100000e+00
1.260000000000000e-01 4.126319760000000e-01 9.476942680000000e-01 3.174050842800000e+00
1.280000000000000e-01 4.113839256000000e-01 9.576319221000000e-01 3.160618631100000e+00
1.300000000000000e-01 4.101358030000000e-01 9.675943058000001e-01 3.147201929900000e+00
1.320000000000000e-01 4.088879185000000e-01 9.775790688000000e-01 3.133804102400000e+00
1.340000000000000e-01 4.076405470000000e-01 9.875841231000000e-01 3.120428114800000e+00
1.360000000000000e-01 4.063939331000000e-01 9.976076035000000e-01 3.107076595500000e+00
1.380000000000000e-01 4.051482956000000e-01 1.007647834300000e+00 3.093751884500000e+00
1.400000000000000e-01 4.039038312000000e-01 1.017703302300000e+00 3.080456073900000e+00
1.420000000000000e-01 4.026607177000000e-01 1.027772633000000e+00 3.067191043100000e+00
1.440000000000000e-01 4.014191163000000e-01 1.037854571000000e+00 3.053958488100000e+00
1.460000000000000e-01 4.001791744000000e-01 1.047947963500000e+00 3.040759946000000e+00
1.480000000000000e-01 3.989410271000000e-01 1.058051745400000e+00 3.027596817100000e+00
1.500000000000000e-01 3.977047990000000e-01 1.068164926400000e+00 3.014470383500000e+00
1.520000000000000e-01 3.964706057000000e-01 1.078286580400000e+00 3.001381825100000e+00
1.540000000000000e-01 3.952385551000000e-01 1.088415835000000e+00 2.988332234800000e+00
1.560000000000000e-01 3.940087488000000e-01 1.098551862600000e+00 2.975322630500000e+00
1.580000000000000e-01 3.927812827000000e-01 1.108693872600000e+00 2.962353967300000e+00
1.600000000000000e-01 3.915562483000000e-01 1.118841103300000e+00 2.949427148200000e+00
1.620000000000000e-01 3.903337336000000e-01 1.128992815200000e+00 2.936543033200000e+00
1.640000000000000e-01 3.891138237000000e-01 1.139148284000000e+00 2.923702449400000e+00
1.660000000000000e-01 3.878966019000000e-01 1.149306793900000e+00 2.910906199200000e+00
1.680000000000000e-01 3.866821505000000e-01 1.159467631100000e+00 2.898155069100000e+00
1.700000000000000e-01 3.854705514000000e-01 1.169630077100000e+00 2.885449838400000e+00
1.720000000000000e-01 3.842618870000000e-01 1.179793401800000e+00 2.872791287100000e+00
1.740000000000000e-01 3.830562412000000e-01 1.189956856100000e+00 2.860180205500000e+00
1.760000000000000e-01 3.818536999000000e-01 1.200119664300000e+00 2.847617403300000e+00
1.780000000000000e-01 3.806543526000000e-01 1.210281015200000e+00 2.835103719200000e+00
1.800000000000000e-01 3.794582929000000e-01 1.220440053100000e+00 2.822640032400000e+00
1.820000000000000e-01 3.782656199000000e-01 1.230595866900000e+00 2.810227274000000e+00
1.840000000000000e-01 3.770764395000000e-01 1.240747477900000e+00 2.797866441100000e+00
1.860000000000000e-01 3.758908661000000e-01 1.250893826000000e+00 2.785558612100000e+00
1.880000000000000e-01 3.747090243000000e-01 1.261033753800000e+00 2.773304964500000e+00
1.900000000000000e-01 3.735310505000000e-01 1.271165987000000e+00 2.761106795600000e+00
1.920000000000000e-01 3.723570963000000e-01 1.281289112300000e+00 2.748965547100000e+00
1.940000000000000e-01 3.711873304000000e-01 1.291401550500000e+00 2.736882834300000e+00
1.960000000000000e-01 3.700219429000000e-01 1.301501524300000e+00 2.724860480600000e+00
1.980000000000000e-01 3.688611489000000e-01 1.311587019300000e+00 2.712900559800000e+00
2.000000000000000e-01 3.677051940000000e-01 1.321655736600000e+00 2.701005446900000e+00
2.020000000000000e-01 3.665543604000000e-01 1.331705034700000e+00 2.689177880400000e+00
2.040000000000000e-01 3.654089746000000e-01 1.341731857600000e+00 2.677421039600000e+00
2.060000000000000e-01 3.642694170000000e-01 1.351732646300000e+00 2.665738639100000e+00
2.080000000000000e-01 3.631361338000000e-01 1.361703227500000e+00 2.654135048200000e+00
2.100000000000000e-01 3.620096521000000e-01 1.371638674300000e+00 2.642615439200000e+00
2.120000000000000e-01 3.608905987000000e-01 1.381533130600000e+00 2.631185975500000e+00
2.140000000000000e-01 3.597797236000000e-01 1.391379587700000e+00 2.619854049300000e+00
2.160000000000000e-01 3.586779313000000e-01 1.401169600000000e+00 2.608628584500000e+00
2.180000000000000e-01 3.575863190000000e-01 1.410892921800000e+00 2.597520424100000e+00
2.200000000000000e-01 3.565062271000000e-01 1.420537039900000e+00 2.586542826000000e+00
2.220000000000000e-01 3.554393027000000e-01 1.430086576000000e+00 2.575712098700000e+00
2.240000000000000e-01 3.543875819000000e-01 1.439522519000000e+00 2.565048415200000e+00
2.260000000000000e-01 3.533535943000000e-01 1.448821248400000e+00 2.554576847800000e+00
2.280000000000000e-01 3.523404936000000e-01 1.457953302100000e+00 2.544328670900000e+00
2.300000000000000e-01 3.513522206000000e-01 1.466881854200000e+00 2.534342967400000e+00
2.320000000000000e-01 3.503936961000000e-01 1.475560894600000e+00 2.524668545400000e+00
2.340000000000000e-01 3.494710389000000e-01 1.483933176400000e+00 2.515366090500000e+00
2.360000000000000e-01 3.485917845000000e-01 1.491928140900000e+00 2.506510327600000e+00
2.380000000000000e-01 3.477650535000000e-01 1.499460302100000e+00 2.498191676000000e+00
2.400000000000000e-01 3.470015729000000e-01 1.506428998300000e+00 2.490516429100000e+00
2.420000000000000e-01 3.463133886000000e-01 1.512721002900000e+00 2.483603872100000e+00
2.440000000000000e-01 3.457130515000000e-01 1.518218050100000e+00 2.477578155700000e+00
2.460000000000000e-01 3.452120522000000e-01 1.522811378200000e+00 2.472552694600000e+00
2.480000000000000e-01 3.448184248000000e-01 1.526424032300000e+00 2.468606309700000e+00
2.500000000000000e-01 3.445338345000000e-01 1.529037996900000e+00 2.465754234400000e+00
2.520000000000000e-01 3.443510623000000e-01 1.530717642300000e+00 2.463923070800000e+00
2.540000000000000e-01 3.442532485000000e-01 1.531616796900000e+00 2.462943278100000e+00
